idind	idcol	CXSGT	M1079	M1102	M1106	M1112	M1113	M1551	M1975	M1979	M244	M809	M811	M813	M815	M831	PP1	PP3	run	col_origin	proba_col_origin	col_inferred	natal_disperser	proba_bin	proba_rank
719	M1551	0.039	0.037	0.058	0.057	0.063	0.064	0.084	0.031	0.036	0.058	0.087	0.049	0.082	0.062	0.101	0.044	0.048	2	M831	0.101	M831	TRUE	0.1 < p < 0.25	1
1837	M1975	0.027	0.049	0.051	0.041	0.036	0.042	0.034	0.238	0.196	0.026	0.034	0.035	0.04	0.032	0.033	0.04	0.046	2	M1975	0.238	M1975	FALSE	0.1 < p < 0.25	1
990	PP3	0.022	0.023	0.047	0.047	0.052	0.086	0.069	0.027	0.033	0.069	0.063	0.059	0.074	0.072	0.072	0.112	0.074	2	PP1	0.112	PP1	TRUE	0.1 < p < 0.25	1
3188	M1102	0.056	0.074	0.069	0.063	0.063	0.059	0.06	0.032	0.038	0.042	0.057	0.07	0.052	0.083	0.07	0.057	0.056	2	M815	0.083	M815	TRUE	p < 0.1	1
1737	M1106	0.041	0.029	0.1	0.05	0.075	0.056	0.052	0.038	0.061	0.062	0.044	0.054	0.09	0.055	0.07	0.075	0.048	2	M1102	0.1	M1102	TRUE	0.1 < p < 0.25	1
2753	M244	0.074	0.059	0.052	0.048	0.057	0.063	0.063	0.039	0.032	0.088	0.056	0.068	0.056	0.075	0.054	0.063	0.053	2	M244	0.088	M244	FALSE	p < 0.1	1
3013	M244	0.052	0.071	0.149	0.031	0.04	0.04	0.042	0.095	0.099	0.037	0.038	0.038	0.043	0.048	0.041	0.047	0.088	2	M1102	0.149	M1102	TRUE	0.1 < p < 0.25	1
789	M815	0.086	0.136	0.052	0.057	0.048	0.049	0.05	0.053	0.05	0.049	0.049	0.048	0.044	0.07	0.049	0.057	0.052	2	M1079	0.136	M1079	TRUE	0.1 < p < 0.25	1
1653	M831	0.04	0.065	0.05	0.086	0.051	0.047	0.066	0.06	0.06	0.052	0.052	0.051	0.044	0.08	0.07	0.047	0.077	2	M1106	0.086	M1106	TRUE	p < 0.1	1
2453	PP3	0.039	0.046	0.056	0.047	0.083	0.044	0.055	0.061	0.069	0.078	0.065	0.062	0.071	0.05	0.061	0.057	0.056	2	M1112	0.083	M1112	TRUE	p < 0.1	1
